city,total_orders,total_revenue
KHANDWA,17,12006.0
Jabalpur,14,11995.0
KANNIYAKUMARI,19,11964.95
KOLAR,24,11921.24
ahmedabad,17,11899.0
CHERTHALA,17,11876.0
TIRUR,16,11847.58
KHARGONE,15,11830.0
JIND,16,11814.0
Jhansi,13,11784.54
FARRUKHABAD,18,11753.0
CUDDALORE,21,11743.67
Thanjavur,17,11711.52
DEVANAHALLI,20,11709.0
GUNA,17,11677.0
Kharar,18,11671.0
MANCHERIAL,18,11636.619999999999
gurgaon,16,11616.0
NAMAKKAL,17,11578.71
Greater Noida West,19,11556.86
CONTAI,18,11555.48
ICHALKARANJI,21,11546.0
CHAIBASA,18,11461.95
KOCH BIHAR,20,11418.96
KARAIKKUDI,20,11392.76
RAJNANDGAON,14,11389.62
HALDIA,20,11380.380000000001
PUDUKKOTTAI,23,11363.25
TALEGAON MIDC,16,11341.29
ROBERTSONPET,21,11328.0
THIRUVALLUR,18,11308.0
TENALI,17,11299.11
Port blair,13,11293.11
PALANPUR,17,11277.0
SIDDIPET,16,11249.0
Bhagalpur,17,11241.0
ANAPARTHY,17,11234.0
PALI,15,11159.0
Kanjoor,12,11152.1
KULLU,16,11139.0
Kolhapur,18,11134.53
KARAD,19,11125.0
KANHANGAD,19,11111.0
BANSWARA,14,11105.0
NILAMBUR,14,11096.01
TONK,15,11079.0
KALYAN west,17,11075.86
SEONI,15,11025.52
PILERU,14,11020.82
QUEPEM,17,10964.0
UDMA,16,10951.67
Banglore,15,10884.14
Amritsar,17,10833.02
BUNGAL,10,10749.25
AROOR,20,10748.33
MIRZAPUR CUM VINDHYACHAL,18,10719.24
MAINPURI,14,10719.0
KOKRAJHAR,18,10705.0
Panvel,19,10647.86
SRIPERUMBUDUR,17,10645.14
KARJAT RAIGARH DISTRICT,16,10639.95
CHIDAMBARAM,19,10634.0
Shillong,16,10623.77
FATEHPUR FATEHPUR DISTRICT,14,10617.619999999999
DHARMAVARAM,17,10603.57
BANTVAL,14,10601.93
ANTAH,13,10552.0
DEWAS,20,10537.95
Leimakhong Town,17,10488.95
JHARSUGUDA,19,10464.0
MIRYALAGUDA,16,10456.0
Rohtak,13,10445.0
PALANI,15,10430.0
CHHATARPUR,16,10423.19
KHOPOLI,18,10411.2
PALAI,16,10409.0
GUDIVADA KRISHNA DISTRICT,18,10395.0
KUMTA,15,10387.95
CHENNAI 600028,12,10380.0
MUNGER,17,10373.0
AMBUR,16,10372.0
BARAMATI,17,10358.71
VIRAJPETE,16,10343.76
Angamaly,14,10317.0
Tirupati,20,10251.67
KANKE,12,10240.97
